title,author,format,price,image,rating,comments
La France n'a pas dit son dernier mot,Eric Zemmour,Broché,"21,90 €","https://images-eu.ssl-images-amazon.com/images/I/61PkOTG1xSL._AC_UL200_SR200,200_.jpg",NA,NA
"Corps, amour, sexualité : les 100 questions que vos enfants vont vous poser: Le premier guide d'éducation à la sexualité positive pour toutes les familles",Charline VERMONT,Broché,"15,90 €","https://images-eu.ssl-images-amazon.com/images/I/71y1TutIpCL._AC_UL200_SR200,200_.jpg",NA,NA
One Piece - Édition originale - Tome 99,Eiichiro Oda,Poche,"6,90 €","https://images-eu.ssl-images-amazon.com/images/I/91N17qUVgXS._AC_UL200_SR200,200_.jpg",NA,NA
Dans ma maison - BTS 2022-2023,Collectif,Poche,"3,90 €","https://images-eu.ssl-images-amazon.com/images/I/612RPgWVcRL._AC_UL200_SR200,200_.jpg","4,1 étoiles sur 5",7
Solo Leveling T03,Chugong,Broché,"14,95 €","https://images-eu.ssl-images-amazon.com/images/I/71FFOKVYFIS._AC_UL200_SR200,200_.jpg","4,4 étoiles sur 5",14
My Hero Academia T30 (30),Kohei Horikoshi,Poche,"6,60 €","https://images-eu.ssl-images-amazon.com/images/I/61WznzqTMFS._AC_UL200_SR200,200_.jpg","4,9 étoiles sur 5",38
La Fracture,Frederic Dabi,Broché,"19,90 €","https://images-eu.ssl-images-amazon.com/images/I/41hxPYp7puL._AC_UL200_SR200,200_.jpg",NA,NA
"Les Meilleurs Placements pour les Nuls, grand format",Marc FIORENTINO,Broché,"22,95 €","https://images-eu.ssl-images-amazon.com/images/I/41joT103UjL._AC_UL200_SR200,200_.jpg",NA,NA
L'Inconnue de la Seine,Guillaume Musso,Broché,"21,90 €","https://images-eu.ssl-images-amazon.com/images/I/71cRjmmbBLL._AC_UL200_SR200,200_.jpg",NA,NA
Changer : méthode,Edouard Louis,Broché,"20,00 €","https://images-eu.ssl-images-amazon.com/images/I/51S8NdBtSPL._AC_UL200_SR200,200_.jpg",NA,NA
Fait Maison - numéro 5 par Cyril Lignac - Spécial pâtisserie (05),Cyril Lignac,Broché,"12,90 €","https://images-eu.ssl-images-amazon.com/images/I/61d-CZMrAvL._AC_UL200_SR200,200_.jpg",NA,NA
Petits plats Gourmands: 40 recettes minceurs,Ambre Algeri,Broché,"19,99 €","https://images-eu.ssl-images-amazon.com/images/I/71O4jHJcbOL._AC_UL200_SR200,200_.jpg","4,8 étoiles sur 5",13
Les Promises,Jean-Christophe Grangé,Broché,"23,90 €","https://images-eu.ssl-images-amazon.com/images/I/71lLYMPGJBS._AC_UL200_SR200,200_.jpg","2,8 étoiles sur 5",10
Premier Sang,Amélie Nothomb,Broché,"17,90 €","https://images-eu.ssl-images-amazon.com/images/I/81hgDntmAxS._AC_UL200_SR200,200_.jpg","4,3 étoiles sur 5",272
La Guérison des 5 blessures,Lise BOURBEAU,Poche,"7,60 €","https://images-eu.ssl-images-amazon.com/images/I/61lRV5muWYS._AC_UL200_SR200,200_.jpg","4,7 étoiles sur 5",5
Mes histoires signées - Un trop plein d'émotions: Apprends 20 signes avec @Littlebunbao,Marie Cao,Broché,"5,90 €","https://images-eu.ssl-images-amazon.com/images/I/61HNkafQN0S._AC_UL200_SR200,200_.jpg","4,9 étoiles sur 5",9
Batman Fortnite Point Zéro,Gage Christos,Broché,"12,00 €","https://images-eu.ssl-images-amazon.com/images/I/71a8g%2B7N8NL._AC_UL200_SR200,200_.jpg","3,9 étoiles sur 5",7
L'enfer numérique: Voyage au bout d'un Like,Guillaume Pitron,Broché,"21,00 €","https://images-eu.ssl-images-amazon.com/images/I/51PoEUvbtFL._AC_UL200_SR200,200_.jpg",NA,NA
