title,author,format,price,image,rating,comments,updated_at
Le traître et le néant,Gérard Davet,Broché,24.5,"https://images-eu.ssl-images-amazon.com/images/I/61llMe7E0kL._AC_UL200_SR200,200_.jpg",NA,0,2021-10-14 09:28:56.019559
Astérix - Astérix et le Griffon - n°39,René Goscinny,Relié,9.99,"https://images-eu.ssl-images-amazon.com/images/I/913xBFV2bgL._AC_UL200_SR200,200_.jpg",NA,0,2021-10-14 09:28:56.019559
L'Attaque des Titans T34,Hajime Isayama,Poche,6.95,"https://images-eu.ssl-images-amazon.com/images/I/811XcSgiiVS._AC_UL200_SR200,200_.jpg",3.8,4,2021-10-14 09:28:56.019559
La France n'a pas dit son dernier mot,Eric Zemmour,Broché,19.95,"https://images-eu.ssl-images-amazon.com/images/I/61PkOTG1xSL._AC_UL200_SR200,200_.jpg",4.6,0,2021-10-14 09:28:56.019559
Trouver ma place: 22 protocoles pour accéder au bonheur,Natacha Calestreme,Broché,19.99,"https://images-eu.ssl-images-amazon.com/images/I/717E7%2ByI3nL._AC_UL200_SR200,200_.jpg",3.0,2,2021-10-14 09:28:56.019559
Jack et la grande aventure du Cochon de Noël,J.K. Rowling,Broché,20.0,"https://images-eu.ssl-images-amazon.com/images/I/91ipziy6zIL._AC_UL200_SR200,200_.jpg",5.0,2,2021-10-14 09:28:56.019559
Cuisinez bien accompagné avec ma méthode Mentor: Méthode & recettes,Philippe Etchebest,Broché,19.9,"https://images-eu.ssl-images-amazon.com/images/I/71ee7G60lWL._AC_UL200_SR200,200_.jpg",3.5,3,2021-10-14 09:28:56.019559
BD Goldorak,Dorison Xavier,Broché,24.9,"https://images-eu.ssl-images-amazon.com/images/I/81HCibtdT4L._AC_UL200_SR200,200_.jpg",NA,0,2021-10-14 09:28:56.019559
Coffret Collector Major Mouvement,Major Mouvement,Broché,20.99,"https://images-eu.ssl-images-amazon.com/images/I/71Tgw9DFUHL._AC_UL200_SR200,200_.jpg",NA,0,2021-10-14 09:28:56.019559
Dieu - La science Les preuves,Michel-Yves Bolloré,Broché,24.0,"https://images-eu.ssl-images-amazon.com/images/I/619tgq2JIgL._AC_UL200_SR200,200_.jpg",3.5,3,2021-10-14 09:28:56.019559
"Parce que tu es une fille merveilleuse: Des histoires inspirantes sur le courage, la force intérieure et la confiance en soi",Sofia Beauvais,Broché,11.95,"https://images-eu.ssl-images-amazon.com/images/I/719OwviQdHL._AC_UL200_SR200,200_.jpg",4.5,15,2021-10-14 09:28:56.019559
L'Inconnue de la Seine,Guillaume Musso,Broché,17.02,"https://images-eu.ssl-images-amazon.com/images/I/71Ddwhxc%2BcL._AC_UL200_SR200,200_.jpg",3.7,591,2021-10-14 09:28:56.019559
Demon Slayer - Coffret (T19 + Roman N°02),Koyoharu Gotouge,Broché,15.99,"https://images-eu.ssl-images-amazon.com/images/I/810haCmBHsL._AC_UL200_SR200,200_.jpg",NA,0,2021-10-14 09:28:56.019559
Mes desserts faits maison - Roxane,Roxane,Relié,14.95,"https://images-eu.ssl-images-amazon.com/images/I/41-dqa1RY-L._AC_UL200_SR200,200_.jpg",3.8,7,2021-10-14 09:28:56.019559
Kaiju n°8 T01,Naoya Matsumoto,Broché,4.0,"https://images-eu.ssl-images-amazon.com/images/I/81GG6CFqZrL._AC_UL200_SR200,200_.jpg",4.7,22,2021-10-14 09:28:56.019559
